topic, 1th word and probability, 2th word and probability, 3th word and probability, 4th word and probability, 5th word and probability, 6th word and probability, 7th word and probability, 8th word and probability, 9th word and probability, 10th word and probability, 
1, absolute 0.539, abstract 0.093, acceleration 0.092, acknowledgement 0.047, academic 0.046, acknowledgment 0.046, account 0.046, acad 0.045, acknowledged 0.045, acrobot 0.001, 
2, action 0.604, accuracy 0.094, accurate 0.043, achieve 0.031, abstract 0.027, activation 0.022, achieved 0.021, acknowledgement 0.017, account 0.016, accuracies 0.016, 
3, activation 0.651, able 0.052, action 0.051, act 0.046, abstract 0.037, ability 0.017, activated 0.017, acoustic 0.014, activa 0.014, accumulated 0.012, 
4, activation 0.1, abstract 0.093, able 0.058, accuracy 0.057, according 0.055, achieved 0.051, acknowledgement 0.046, ability 0.046, achieve 0.034, account 0.032, 
5, acid 0.459, abu 0.266, ackley 0.266, acceleration 0.008, accumulating 0.001, acceptor 0.001, achieving 0.001, achievable 0.001, acetylcholine 0.001, accuracies 0.001, 
6, acid 0.445, ability 0.274, acoustic 0.274, acceleration 0.008, acc 0.001, absorbing 0.001, acceptor 0.001, achievable 0.001, acetylcholine 0.001, accuracies 0.001, 
7, action 0.612, able 0.036, abstract 0.032, activation 0.03, absence 0.023, acknowledgement 0.02, act 0.02, achieve 0.02, ability 0.017, acquired 0.017, 
8, acid 0.551, abu 0.22, ackley 0.22, acceleration 0.01, accumulating 0.001, abstracted 0.001, acceptor 0.001, achievable 0.001, acetylcholine 0.001, accuracies 0.001, 
9, acid 0.46, accuracy 0.159, ability 0.063, abstract 0.032, account 0.032, acquire 0.032, acknowledgement 0.032, able 0.032, acad 0.032, accurate 0.032, 
10, access 0.333, acquisition 0.333, acoustic 0.167, acetylcholine 0.167, accumulate 0.001, accounting 0.001, achievable 0.001, accurately 0.001, accelerating 0.001, accuracies 0.001, 
11, acetylcholine 0.676, activation 0.088, abstract 0.059, account 0.059, acknowledgement 0.03, academic 0.03, according 0.029, activating 0.029, acceptance 0.001, absorbing 0.001, 
12, according 0.249, abu 0.212, achieve 0.127, abstract 0.09, access 0.089, achievable 0.074, acknowledgement 0.035, achieves 0.03, acknowledged 0.029, acm 0.017, 
13, abu 0.499, ackley 0.499, acid 0.001, accepting 0.001, accomplishes 0.001, accessed 0.001, accent 0.001, acc 0.001, accelerating 0.001, achieving 0.001, 
14, activation 0.417, access 0.166, accumulation 0.054, abstract 0.049, accumulate 0.033, acknowledgement 0.023, achieved 0.021, ability 0.018, act 0.018, accurate 0.015, 
15, acoustic 0.487, acoust 0.053, abstract 0.046, accuracy 0.042, able 0.041, account 0.041, according 0.037, acoustical 0.036, acous 0.024, achieved 0.02, 
16, action 0.597, abstract 0.076, acknowledgement 0.068, accurate 0.067, achieved 0.066, acceleration 0.031, able 0.03, access 0.03, accumulating 0.03, acknowledge 0.002, 
17, ability 0.58, achieve 0.079, abstract 0.073, acknowledgement 0.051, achieved 0.045, acknowledges 0.023, able 0.022, account 0.021, action 0.021, acting 0.021, 
18, acc 0.332, acid 0.186, acceptor 0.181, accuracy 0.09, ability 0.06, accurately 0.06, able 0.03, abstract 0.03, absent 0.03, accomplishes 0.001, 
19, acid 0.999, acceleration 0.001, accumulate 0.001, accordance 0.001, accompanied 0.001, accompanying 0.001, accomplish 0.001, accomplishes 0.001, activating 0.001, accounted 0.001, 
20, acid 0.993, acceleration 0.007, accuracies 0.001, accumulating 0.001, accomplishes 0.001, acceptor 0.001, acc 0.001, absorbing 0.001, accelerating 0.001, acquires 0.001, 
21, accuracy 0.511, accumulated 0.18, accuracies 0.076, abstract 0.067, acknowledgement 0.046, according 0.023, accumulation 0.023, absolute 0.023, absorbed 0.023, achieve 0.017, 
22, acid 0.971, acceleration 0.018, abu 0.006, ackley 0.006, acrobot 0.001, accelerating 0.001, accomplishes 0.001, absorbing 0.001, acquires 0.001, accuracies 0.001, 
23, acid 0.469, abu 0.261, ackley 0.261, acceleration 0.008, accumulate 0.001, achieving 0.001, accepting 0.001, achievable 0.001, acetylcholine 0.001, accuracies 0.001, 
24, abu 0.5, ackley 0.5, activating 0.001, acquires 0.001, accelerating 0.001, accuracies 0.001, acc 0.001, accumulating 0.001, accomplishes 0.001, accent 0.001, 
25, accuracy 0.388, achieved 0.142, acceleration 0.136, abstract 0.061, acoustic 0.058, achieve 0.046, accurate 0.04, acknowledgement 0.04, ability 0.038, accuracies 0.031, 
26, acid 0.523, abu 0.234, ackley 0.234, acceleration 0.009, accumulating 0.001, acceptor 0.001, achieving 0.001, achievable 0.001, acetylcholine 0.001, accuracies 0.001, 
27, acid 0.771, abu 0.107, ackley 0.107, acceleration 0.014, acrobot 0.001, acc 0.001, acetylcholine 0.001, accelerating 0.001, absorbing 0.001, accuracies 0.001, 
28, action 0.431, abstract 0.122, absorption 0.076, acknowledgement 0.074, according 0.056, achieved 0.054, accurate 0.034, activation 0.034, acoustic 0.015, accomplished 0.015, 
29, account 0.424, accounted 0.092, abstract 0.075, acceleration 0.057, acknowledgement 0.056, accounting 0.055, abeles 0.055, academic 0.019, activation 0.018, academy 0.018, 
30, abstraction 0.559, abstract 0.112, acknowledgement 0.085, acoust 0.08, academic 0.057, action 0.027, ability 0.027, acquisition 0.027, academy 0.027, accumulating 0.001, 
